,sentence,entity A,entity B
0,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('they', 677)","('innocent', 5694)"
1,Chuck then explains that Mike ’s speaking up actually did n’t protect us .,"('Chuck', 127)","('us', 4775)"
2,"“ They hated each other , ” said the nanny .","('They', 3079)","('other', 478)"
3,"“ They hated each other , ” said the nanny .","('nanny', 948)","('other', 478)"
4,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('father', 902)"
5,"They are facing each other , inches apart .","('They', 858)","('other', 358)"
6,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('old', 3310)"
7,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('old', 3310)"
8,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('us', 4775)"
9,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('prisoner', 4767)"
10,"“ Ryger sent us to interview the prisoner , ” he said casually .","('he', 217)","('us', 4775)"
11,I met a man driving a wagon and asked him how far it was to The Kingdom and what direction .,"('I', 0)","('him', 789)"
12,“ Do you want her in the truck ? ”,"('you', 154)","('her', 171)"
13,"You could have had a lovely holiday in Fairyland and never met the Marquess , never worried yourself with local politics , had a romp with a few brownies and gone home with enough memories for a lifetime ’s worth of novels .","('You', 170)","('Marquess', 2780)"
14,"I love you , my sweet sister — Russ My hands shook as I refolded the letter and placed it back in the envelope .","('I', 0)","('you', 141)"
15,"After seven hours , they arrived at a bivouac not unlike the one Amates would take me to on the mouth of the Faretsj River .","('Amates', 604)","('me', 0)"
16,He tackled me as I was walking up the hill .,"('He', 398)","('me', 0)"
17,— I thought it was you what are you doing on Victor Emilio Estrada ?,"('you', 5965)","('Estrada', 599)"
18,"It was wrong conceptually , he told her .","('he', 350)","('her', 372)"
19,I had even kept a browser opened to my Gmail account just so I ’d always be online and available to chat on Google Talk so they could see me .,"('they', 488)","('me', 0)"
20,"She apologized to the startled Johansson , who was busy rinsing an elderly woman ’s mouth , and asked if she could borrow the model of an old motorcycle from the bookcase behind him .","('She', 783)","('Johansson', 724)"
21,He called the creature Eve .,"('He', 112)","('Eve', 115)"
22,She had wanted to kiss him .,"('She', 291)","('him', 3484)"
23,"Though they call him Julian , he has three legacy names — the first for his father , the second for Cynthia ’s father , and finally for John ’s mother .","('they', 1799)","('him', 1800)"
24,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('She', 233)","('him', 1364)"
25,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('Stocking', 220)","('him', 1364)"
26,“ Not a secret that I want you — seems to go both ways .,"('I', 74)","('you', 0)"
27,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('Zim', 606)","('man', 3375)"
28,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('you', 3374)","('man', 3375)"
29,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('he', 224)","('father', 978)"
30,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('Darrin', 20)","('her', 1762)"
31,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('he', 20)","('her', 1762)"
32,"“ I ’m going to stop in Atlanta first , ” he told her instead .","('he', 5225)","('her', 674)"
33,"She gushed over me for a bit , making sure everything was ok .","('She', 75)","('me', 0)"
34,"“ You mean y’ all wanna justify what that pig did , ” Daddy says .","('You', 0)","('y’', 3727)"
35,"And what about the reading of poetry by others , which teachers keep telling us is so important , is in fact crucial to a poet ’s apprenticeship ?","('teachers', 982)","('us', 1156)"
36,She ’d lost David .,"('She', 385)","('David', 264)"
37,"The NME trailed the band from Amsterdam to Paris for the cover feature , and Cummins photographed them in front of the Eiffel Tower .","('Cummins', 687)","('them', 4566)"
38,"When he was on the road , Booth was as faithful as a traveling thespian could be , which is to say that he made love to other women but considered them second to Lucy in his heart .","('he', 314)","('women', 3184)"
39,"When he was on the road , Booth was as faithful as a traveling thespian could be , which is to say that he made love to other women but considered them second to Lucy in his heart .","('them', 3184)","('Lucy', 315)"
40,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('Oculator', 1164)","('me', 0)"
41,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('Oculator', 1164)","('you', 0)"
42,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('she', 1164)","('me', 0)"
43,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('she', 1164)","('you', 0)"
44,"Daniela asks , “ How could you do this to me ?","('you', 3028)","('me', 112)"
45,"Brandy laughed , and Hannah hushed her .","('Hannah', 28)","('her', 27)"
46,"When Dad knew whom Aunt Gloria was really trying to get away from and why he did n’t help her , I did n’t ask .","('he', 589)","('her', 775)"
47,But Zwarst was n’t sure if his friend had raped her .,"('friend', 2202)","('her', 516)"
48,What I ’ve learned from Papaw Phil about never giving up is that there is nothing wrong with starting small if you just keep going .,"('I', 0)","('Phil', 54)"
49,"An elderly philologist told Glikman that only once before in his lifetime had he witnessed such a vast and insistent ovation : forty - four years previously , when Tchaikovsky had conducted the premiere of his Sixth Symphony .","('philologist', 1135)","('Glikman', 188)"
50,"With Iger ’s blessing , then , we set about drafting a document that came to be known as “ The Five Year Social Compact . ”","('we', 3809)","('Iger', 3829)"
51,Make sure the camera ’s working in the main booth so we can upload pictures to social media while we ’re interviewing him .,"('we', 145)","('him', 28)"
52,Make sure the camera ’s working in the main booth so we can upload pictures to social media while we ’re interviewing him .,"('we', 145)","('him', 28)"
53,"“ Roderick , I told you not to lean on that shelf !","('I', 846)","('you', 0)"
54,Let me talk to her .,"('me', 0)","('her', 160)"
55,"And I asked him if he was serious , and he said he was .","('I', 0)","('him', 97)"
56,Nobody told him to honk like this .,"('Nobody', 317)","('him', 89)"
57,Ryan led him into the kitchen .,"('Ryan', 1063)","('him', 1700)"
58,"For as long as Margaret has known Drake , she has never seen him drive .","('Margaret', 299)","('Drake', 310)"
59,I need you operational .,"('I', 0)","('you', 98)"
60,"Arundhati Ghose , a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind , remembers him fondly .","('Ghose', 626)","('him', 624)"
61,"“ And now that I have Nicholas , I can finally take one . ”","('I', 772)","('Nicholas', 798)"
62,Why is he still with you ? ”,"('he', 53)","('you', 51)"
63,Catherine is visiting from Philadelphia with her family .,"('Catherine', 105)","('family', 716)"
64,“ I feel like we do n’t know you at all . ”,"('I', 67)","('you', 50)"
65,“ I feel like we do n’t know you at all . ”,"('we', 931)","('you', 50)"
66,"THEIR REPORT could have been taken directly from the Radium Girl case files : necrosis in both jaws , anemia , brain abscess ( in the right cerebral cortex ) , damaged kidneys , and ravaged bone marrow , “ all symptomatic of radium poisoning , ” Norris reported to the mayor .","('Norris', 367)","('mayor', 1249)"
67,"“ But he really liked you , ” said Henry .","('he', 151)","('you', 166)"
68,"“ But he really liked you , ” said Henry .","('Henry', 162)","('you', 166)"
69,"the Serpent King snarled , waking me out of my trancelike state .","('King', 2573)","('me', 0)"
70,"She walked with the busy , measured tread heavy people sometimes had , and , like a train , sighed whenever she started or stopped .","('She', 330)","('people', 2360)"
71,“ You ’re going out with him tonight ? ”,"('You', 99)","('him', 61)"
72,"And I realized , as the summer matured and I frequently visited Zoë without Denny , that I was a part of this , too .","('I', 0)","('Denny', 169)"
73,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('Lamon', 1735)","('president', 2211)"
74,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('Lamon', 1735)","('Lincoln', 1146)"
75,Lamon had been warning the president of danger from the moment he accompanied Lincoln on his midnight train ride through Baltimore to Washington after an assassination plot was uncovered in February 1861 .,"('he', 1735)","('Lincoln', 1146)"
76,"She looks at me as I hand her some tiny earphones , and she puts them into her ears before I press a button .","('She', 53)","('me', 0)"
