COREF,start_token,end_token,prop,cat,text,sentence_ID,Doc_Num
677,114136,114136,PRON,PER,they,6722,0
5372,114141,114142,NOM,PER,the tutor,6722,0
6338,114145,114149,NOM,PER,the sick and the wicked,6722,0
5694,114154,114155,NOM,PER,the innocent,6722,0
127,63288,63288,PROP,PER,Chuck,2720,1
126,63292,63292,PROP,PER,Mike,2720,1
4775,63300,63300,PRON,PER,us,2720,1
3079,15896,15896,PRON,PER,They,1115,2
478,15898,15899,NOM,PER,each other,1115,2
948,15903,15904,NOM,PER,the nanny,1115,2
0,147235,147235,PRON,PER,I,6880,3
0,147238,147238,PRON,PER,my,6880,3
902,147238,147239,NOM,PER,my father,6880,3
507,147241,147241,PROP,PER,Jane,6880,3
7650,147246,147250,NOM,PER,a number of the slaves,6880,3
1341,147249,147250,NOM,PER,the slaves,6880,3
393,147253,147253,PROP,PER,Toby,6880,3
353,147260,147260,PROP,PER,OGF,6880,3
21800,202327,202328,NOM,PER,a townsman,14248,4
330,202330,202331,PROP,PER,Jack Builder,14248,4
21801,202334,202337,NOM,PER,the great Prior Philip,14248,4
393,202337,202337,PROP,PER,Philip,14248,4
330,202342,202342,PROP,PER,Jack,14248,4
393,202345,202345,PROP,PER,Philip,14248,4
858,22190,22190,PRON,PER,They,1848,5
358,22193,22194,NOM,PER,each other,1848,5
0,16498,16498,PRON,PER,I,1294,6
0,16500,16500,PRON,PER,I,1294,6
3310,16504,16511,NOM,PER,a twenty - two - year - old,1294,6
0,16514,16514,PRON,PER,I,1294,6
231,85373,85373,PROP,PER,Ryger,8151,7
4775,85375,85375,PRON,PER,us,8151,7
4767,85378,85379,NOM,PER,the prisoner,8151,7
217,85382,85382,PRON,PER,he,8151,7
0,26709,26709,PRON,PER,I,2236,8
789,26711,26715,NOM,PER,a man driving a wagon,2236,8
789,26718,26718,PRON,PER,him,2236,8
154,56016,56016,PRON,PER,you,4856,9
171,56018,56018,PRON,PER,her,4856,9
0,18272,18272,PRON,PER,I,1331,10
0,18279,18279,PRON,PER,myself,1331,10
543,15088,15088,PROP,PER,David,618,11
563,15095,15097,PROP,PER,the First Couple,618,11
563,15103,15103,PRON,PER,their,618,11
1688,15103,15105,NOM,PER,their tour leader,618,11
563,15118,15118,PRON,PER,we,618,11
4933,15118,15120,NOM,PER,we three children,618,11
176,20822,20822,PRON,PER,she,1183,12
210,20828,20828,PROP,PER,Tina,1183,12
210,20830,20830,PRON,PER,her,1183,12
176,20837,20838,PROP,PER,Mrs. Beale,1183,12
210,20850,20850,PRON,PER,her,1183,12
0,14421,14421,PRON,PER,I,602,13
823,14427,14429,NOM,PER,the male weatherman,602,13
170,73444,73444,PRON,PER,You,4781,14
2780,73456,73457,NOM,PER,the Marquess,4781,14
170,73461,73461,PRON,PER,yourself,4781,14
4011,73470,73472,NOM,PER,a few brownies,4781,14
0,206304,206304,PRON,PER,I,13884,15
141,206306,206306,PRON,PER,you,13884,15
0,206308,206308,PRON,PER,my,13884,15
4402,206308,206310,NOM,PER,my sweet sister,13884,15
0,206313,206313,PRON,PER,My,13884,15
0,206317,206317,PRON,PER,I,13884,15
3153,40596,40596,PRON,PER,they,1868,16
604,40605,40605,PROP,PER,Amates,1868,16
0,40608,40608,PRON,PER,me,1868,16
398,63602,63602,PRON,PER,He,4793,17
0,63604,63604,PRON,PER,me,4793,17
0,63606,63606,PRON,PER,I,4793,17
0,90591,90591,PRON,PER,I,3046,18
5965,90595,90595,PRON,PER,you,3046,18
5965,90598,90598,PRON,PER,you,3046,18
599,90601,90603,PROP,PER,Victor Emilio Estrada,3046,18
350,39379,39379,PRON,PER,he,2554,19
372,39381,39381,PRON,PER,her,2554,19
3018,40000,40000,PRON,PER,they,2176,20
3018,40011,40011,PRON,PER,their,2176,20
505,40011,40012,NOM,PER,their children,2176,20
505,40018,40018,PRON,PER,them,2176,20
505,40021,40021,PRON,PER,them,2176,20
505,40023,40023,PRON,PER,their,2176,20
505,40027,40027,PRON,PER,they,2176,20
505,40034,40034,PRON,PER,them,2176,20
1905,46125,46125,PRON,PER,you,3533,21
401,46127,46127,PROP,PER,Gia,3533,21
3309,46130,46131,NOM,PER,The girl,3533,21
343,46141,46141,PROP,PER,Danny,3533,21
3564,62010,62010,PRON,PER,he,2773,22
6705,62015,62017,NOM,PER,the wedding guests,2773,22
3564,62027,62027,PRON,PER,he,2773,22
1944,190063,190063,PRON,PER,he,8060,23
1798,190077,190077,PROP,PER,Popayán,8060,23
1944,190084,190084,PRON,PER,him,8060,23
1321,33828,33830,NOM,PER,The founding fathers,1134,24
2592,33833,33834,NOM,PER,many southerners,1134,24
1321,33844,33844,PRON,PER,their,1134,24
0,24832,24832,PRON,PER,I,1838,25
0,24840,24840,PRON,PER,my,1838,25
0,24845,24845,PRON,PER,I,1838,25
488,24858,24858,PRON,PER,they,1838,25
0,24861,24861,PRON,PER,me,1838,25
4138,70644,70644,PRON,PER,our,2773,26
4176,70644,70648,NOM,PER,"our dazed , debilitated group",2773,26
4138,70650,70650,PRON,PER,we,2773,26
4138,70664,70664,PRON,PER,we,2773,26
783,40958,40958,PRON,PER,She,2689,27
724,40963,40963,PROP,PER,Johansson,2689,27
2281,40969,40971,NOM,PER,an elderly woman,2689,27
783,40978,40978,PRON,PER,she,2689,27
670,40991,40991,PRON,PER,him,2689,27
112,8903,8903,PRON,PER,He,429,28
115,8907,8907,PROP,PER,Eve,429,28
4040,84896,84897,NOM,PER,the police,3767,29
6007,84903,84903,NOM,PER,protestors,3767,29
6008,84909,84919,NOM,PER,Haida elders who had insisted on being on the front lines,3767,29
0,248328,248328,PRON,PER,I,9442,30
12395,248333,248337,NOM,PER,people in the host country,9442,30
0,248340,248340,PRON,PER,I,9442,30
0,248351,248351,PRON,PER,I,9442,30
0,248354,248354,PRON,PER,myself,9442,30
291,101503,101503,PRON,PER,She,7392,31
3484,101508,101508,PRON,PER,him,7392,31
1799,21286,21286,PRON,PER,they,1289,32
1800,21288,21288,PRON,PER,him,1289,32
599,21289,21289,PROP,PER,Julian,1289,32
1800,21291,21291,PRON,PER,he,1289,32
1800,21300,21300,PRON,PER,his,1289,32
1188,21300,21301,NOM,PER,his father,1289,32
598,21306,21306,PROP,PER,Cynthia,1289,32
1802,21306,21308,NOM,PER,Cynthia ’s father,1289,32
599,21313,21313,PROP,PER,John,1289,32
1803,21313,21315,NOM,PER,John ’s mother,1289,32
233,15791,15791,PRON,PER,She,834,33
1364,15793,15793,PRON,PER,him,834,33
220,15798,15798,PROP,PER,Stocking,834,33
1364,15805,15805,PRON,PER,his,834,33
1364,15810,15810,PRON,PER,him,834,33
6388,145356,145356,PRON,PER,she,6800,34
6388,145363,145363,PRON,PER,her,6800,34
6388,145372,145372,PRON,PER,her,6800,34
6389,145382,145382,PRON,PER,we,6800,34
6388,145390,145390,PRON,PER,her,6800,34
6388,145393,145393,PRON,PER,her,6800,34
6388,145400,145400,PRON,PER,her,6800,34
6388,145406,145406,PRON,PER,her,6800,34
6388,145427,145427,PRON,PER,her,6800,34
1167,28584,28584,PRON,PER,You,1642,35
221,28606,28606,PROP,PER,Tom,1642,35
71,65215,65215,PRON,PER,I,5131,36
3332,65219,65221,NOM,PER,a team member,5131,36
330,65225,65225,NOM,PER,anyone,5131,36
195,65232,65233,NOM,PER,the admiral,5131,36
3335,65240,65242,NOM,PER,the team itself,5131,36
74,74862,74862,PRON,PER,I,5826,37
0,74864,74864,PRON,PER,you,5826,37
606,64543,64543,PROP,PER,Zim,3733,38
479,64551,64551,PROP,PER,Pedro,3733,38
3374,64554,64554,PRON,PER,you,3733,38
3375,64558,64560,NOM,PER,an old man,3733,38
224,18711,18711,PROP,PER,T.J.,1485,39
224,18713,18713,PRON,PER,his,1485,39
224,18718,18718,PRON,PER,he,1485,39
224,18724,18724,PRON,PER,his,1485,39
978,18724,18725,NOM,PER,his father,1485,39
259,18727,18727,PROP,PER,Tyr,1485,39
259,18732,18732,PRON,PER,his,1485,39
240,18737,18738,PROP,PER,Fenris Wolf,1485,39
20,36046,36046,PROP,PER,Darrin,1731,40
1762,36049,36049,PRON,PER,her,1731,40
1762,36057,36057,PRON,PER,her,1731,40
1762,36061,36061,PRON,PER,her,1731,40
1762,36063,36063,PRON,PER,she,1731,40
1762,36068,36068,PRON,PER,her,1731,40
182,36079,36080,NOM,PER,the bastard,1731,40
20,36086,36086,PRON,PER,he,1731,40
1762,36090,36090,PRON,PER,her,1731,40
0,60392,60392,PRON,PER,I,5962,41
0,60401,60401,PRON,PER,me,5962,41
0,60403,60403,PRON,PER,you,5962,41
87,60405,60405,PROP,PER,Mina,5962,41
5225,181758,181758,PRON,PER,I,10691,42
5225,181768,181768,PRON,PER,he,10691,42
674,181770,181770,PRON,PER,her,10691,42
75,1495,1495,PRON,PER,She,125,43
0,1498,1498,PRON,PER,me,125,43
0,14592,14592,PRON,PER,You,1277,44
3727,14594,14594,PRON,PER,y’,1277,44
135,14604,14604,PROP,PER,Daddy,1277,44
556,21027,21027,NOM,PER,others,1148,45
982,21030,21030,NOM,PER,teachers,1148,45
1156,21033,21033,PRON,PER,us,1148,45
451,21043,21044,NOM,PER,a poet,1148,45
385,89386,89386,PRON,PER,She,8708,46
264,89389,89389,PROP,PER,David,8708,46
1370,76340,76347,NOM,PER,The Emily who had returned from Costa Rica,4471,47
58,76365,76365,PRON,PER,she,4471,47
2790,140189,140189,PRON,PER,He,6155,48
2790,140191,140191,PROP,PER,Ike,6155,48
2790,140193,140193,PRON,PER,he,6155,48
4913,140206,140207,NOM,PER,no one,6155,48
2687,140211,140211,PROP,PER,Patton,6155,48
4566,65912,65913,NOM,PER,the band,3137,49
687,65924,65924,PROP,PER,Cummins,3137,49
4566,65926,65926,PRON,PER,them,3137,49
57,23345,23345,PROP,PER,Mom,1971,50
0,23349,23349,PRON,PER,my,1971,50
331,23349,23350,NOM,PER,my sister,1971,50
0,23356,23356,PRON,PER,my,1971,50
2562,23356,23357,NOM,PER,my family,1971,50
80,23362,23362,PROP,PER,Alta,1971,50
92,7168,7169,PROP,PER,Lindsey Lim,626,51
0,7176,7176,PRON,PER,i,626,51
314,46683,46683,PRON,PER,he,2404,52
314,46689,46689,PROP,PER,Booth,2404,52
3183,46694,46696,NOM,PER,a traveling thespian,2404,52
314,46705,46705,PRON,PER,he,2404,52
3184,46709,46710,NOM,PER,other women,2404,52
3184,46713,46713,PRON,PER,them,2404,52
315,46716,46716,PROP,PER,Lucy,2404,52
314,46718,46718,PRON,PER,his,2404,52
2483,56274,56274,PRON,PER,we,4399,53
1164,56279,56281,NOM,PER,the Dark Oculator,4399,53
1164,56285,56285,PRON,PER,she,4399,53
0,56287,56287,PRON,PER,me,4399,53
1164,56291,56291,PRON,PER,she,4399,53
0,56293,56293,PRON,PER,you,4399,53
112,106866,106866,PROP,PER,Daniela,8471,54
3028,106872,106872,PRON,PER,you,8471,54
112,106876,106876,PRON,PER,me,8471,54
27,44022,44022,PROP,PER,Brandy,4221,55
28,44026,44026,PROP,PER,Hannah,4221,55
27,44028,44028,PRON,PER,her,4221,55
0,38201,38201,PRON,PER,you,3044,56
0,38206,38206,PRON,PER,me,3044,56
589,94055,94055,PROP,PER,Dad,5178,57
775,94058,94059,PROP,PER,Aunt Gloria,5178,57
589,94069,94069,PRON,PER,he,5178,57
775,94073,94073,PRON,PER,her,5178,57
0,94075,94075,PRON,PER,I,5178,57
259,408,408,PRON,PER,She,17,58
515,410,416,NOM,PER,the seventh witness presented by the prosecution,17,58
0,424,424,PRON,PER,I,17,58
259,427,427,PRON,PER,she,17,58
516,429,431,NOM,PER,the only witness,17,58
4306,75829,75848,NOM,PER,a round - faced fellow with a receding hairline in the fifteenth row who ’d once held Anna in awe,3918,59
452,75846,75846,PROP,PER,Anna,3918,59
4306,75852,75852,PRON,PER,he,3918,59
4307,75856,75864,NOM,PER,the director of the Moscow Department of Cinematographic Arts,3918,59
4306,75866,75866,PRON,PER,he,3918,59
452,75872,75872,PRON,PER,her,3918,59
4306,75880,75880,PRON,PER,he,3918,59
4308,75883,75890,NOM,PER,a senior official in the Ministry of Culture,3918,59
4310,75895,75901,NOM,PER,the likely successor to its current chief,3918,59
4311,75899,75901,NOM,PER,its current chief,3918,59
546,60704,60704,PROP,PER,Zwarst,3167,60
546,60709,60709,PRON,PER,his,3167,60
2202,60709,60710,NOM,PER,his friend,3167,60
516,60713,60713,PRON,PER,her,3167,60
0,12522,12522,PRON,PER,I,630,61
54,12526,12527,PROP,PER,Papaw Phil,630,61
761,12542,12542,PRON,PER,you,630,61
1135,17239,17241,NOM,PER,An elderly philologist,967,62
188,17243,17243,PROP,PER,Glikman,967,62
208,17249,17249,PRON,PER,his,967,62
208,17252,17252,PRON,PER,he,967,62
173,17268,17268,PROP,PER,Tchaikovsky,967,62
173,17274,17274,PRON,PER,his,967,62
17051,153118,153122,NOM,PER,The Prince of the Ravens,12053,63
5311,153125,153125,PRON,PER,you,12053,63
5311,153135,153135,PRON,PER,you,12053,63
3829,100088,100088,PRON,PER,Iger,4287,64
3809,100094,100094,PRON,PER,we,4287,64
1395,1276,1277,NOM,PER,the camera,58,65
145,1285,1285,PRON,PER,we,58,65
145,1293,1293,PRON,PER,we,58,65
28,1296,1296,PRON,PER,him,58,65
118,16972,16972,PROP,PER,Roderick,1018,66
846,16974,16974,PRON,PER,I,1018,66
0,16976,16976,PRON,PER,you,1018,66
4637,412296,412297,PROP,PER,Johnny Lucinge,15761,67
25087,412304,412304,PRON,PER,her,15761,67
0,20467,20467,PRON,PER,me,1794,68
160,20470,20470,PRON,PER,her,1794,68
0,8542,8542,PRON,PER,I,685,69
97,8544,8544,PRON,PER,him,685,69
97,8546,8546,PRON,PER,he,685,69
97,8551,8551,PRON,PER,he,685,69
97,8553,8553,PRON,PER,he,685,69
70,102854,102854,PROP,PER,Dylan,4959,70
4838,102863,102865,NOM,PER,a professional model,4959,70
14676,153721,153722,NOM,PER,A swimmer,4993,71
1842,153728,153729,NOM,PER,the sultan,4993,71
1227,153735,153735,PROP,PER,Saladin,4993,71
317,4955,4955,NOM,PER,Nobody,494,72
89,4957,4957,PRON,PER,him,494,72
1063,88554,88554,PROP,PER,Ryan,5501,73
1700,88556,88556,PRON,PER,him,5501,73
299,52041,52041,PROP,PER,Margaret,3684,74
310,52044,52044,PROP,PER,Drake,3684,74
299,52046,52046,PRON,PER,she,3684,74
310,52050,52050,PRON,PER,him,3684,74
0,29306,29306,PRON,PER,I,1975,75
98,29308,29308,PRON,PER,you,1975,75
1188,11211,11211,PRON,PER,They,534,76
1195,11216,11223,NOM,PER,the family members who had stayed in Kentucky,534,76
626,24473,24474,PROP,PER,Arundhati Ghose,1018,77
2118,24476,24499,NOM,PER,"a diplomat who served under Haksar in Vienna and after , who would later read to an elderly Haksar as he slowly went blind",1018,77
624,24481,24481,PROP,PER,Haksar,1018,77
624,24492,24494,PROP,PER,an elderly Haksar,1018,77
624,24496,24496,PRON,PER,he,1018,77
624,24502,24502,PRON,PER,him,1018,77
772,110475,110475,PRON,PER,I,7141,78
798,110477,110477,PROP,PER,Nicholas,7141,78
772,110479,110479,PRON,PER,I,7141,78
0,28172,28172,PRON,PER,My,1477,79
0,28195,28195,PRON,PER,I,1477,79
0,28203,28203,PRON,PER,my,1477,79
614,28203,28204,NOM,PER,my dad,1477,79
53,82674,82674,PRON,PER,he,6165,80
51,82677,82677,PRON,PER,you,6165,80
264,21919,21922,PROP,PER,Mashood Al - Fakeeh,1501,81
964,21924,21925,NOM,PER,the analysts,1501,81
197,21931,21932,PROP,PER,Ilyas Shishani,1501,81
965,21934,21945,NOM,PER,a Chechen radical who reportedly joined forces with Ansar Al - Islam,1501,81
254,21942,21945,PROP,PER,Ansar Al - Islam,1501,81
105,14788,14788,PROP,PER,Catherine,1035,82
105,14794,14794,PRON,PER,her,1035,82
716,14794,14795,NOM,PER,her family,1035,82
1319,38919,38922,NOM,PER,a crank like me,1772,83
0,38922,38922,PRON,PER,me,1772,83
0,38939,38939,PRON,PER,I,1772,83
0,38950,38950,PRON,PER,my,1772,83
67,49191,49191,PRON,PER,I,3937,84
931,49194,49194,PRON,PER,we,3937,84
50,49198,49198,PRON,PER,you,3937,84
4840,82695,82695,PRON,PER,THEIR,3626,85
367,82742,82742,PROP,PER,Norris,3626,85
1249,82745,82746,NOM,PER,the mayor,3626,85
1419,56574,56575,NOM,PER,this boy,4041,86
59,56580,56580,PRON,PER,her,4041,86
256,12158,12158,PRON,PER,He,943,87
256,12169,12169,PRON,PER,his,943,87
256,12174,12174,PRON,PER,him,943,87
256,12180,12180,PRON,PER,he,943,87
377,12189,12189,PRON,PER,her,943,87
151,48779,48779,PRON,PER,he,2739,88
166,48782,48782,PRON,PER,you,2739,88
162,48786,48786,PROP,PER,Henry,2739,88
2573,51116,51118,NOM,PER,the Serpent King,3813,89
0,51122,51122,PRON,PER,me,3813,89
0,51125,51125,PRON,PER,my,3813,89
79,65406,65406,PRON,PER,Her,4591,90
0,65410,65410,PRON,PER,mine,4591,90
1269,65413,65413,PRON,PER,we,4591,90
79,65417,65417,PRON,PER,she,4591,90
0,65419,65419,PRON,PER,my,4591,90
79,65425,65425,PRON,PER,her,4591,90
330,72212,72212,PRON,PER,She,4427,91
2360,72215,72221,NOM,PER,"the busy , measured tread heavy people",4427,91
330,72233,72233,PRON,PER,she,4427,91
0,79118,79118,PRON,PER,I,4389,92
0,79123,79123,PRON,PER,I,4389,92
0,79128,79128,PRON,PER,myself,4389,92
0,79133,79133,PRON,PER,my,4389,92
560,90783,90783,PRON,PER,He,4061,93
560,90785,90785,PRON,PER,himself,4061,93
560,90791,90791,PRON,PER,he,4061,93
99,60521,60521,PRON,PER,You,4957,94
61,60526,60526,PRON,PER,him,4957,94
51,52007,52007,PROP,PER,Kat,3489,95
1061,52028,52028,PRON,PER,us,3489,95
0,60346,60346,PRON,PER,I,3989,96
0,60354,60354,PRON,PER,I,3989,96
169,60359,60359,PROP,PER,Denny,3989,96
0,60362,60362,PRON,PER,I,3989,96
1735,261719,261719,PROP,PER,Lamon,11252,97
2211,261723,261724,NOM,PER,the president,11252,97
1735,261730,261730,PRON,PER,he,11252,97
1146,261732,261732,PROP,PER,Lincoln,11252,97
1146,261734,261734,PRON,PER,his,11252,97
53,77422,77422,PRON,PER,She,4017,98
0,77425,77425,PRON,PER,me,4017,98
0,77427,77427,PRON,PER,I,4017,98
53,77429,77429,PRON,PER,her,4017,98
53,77435,77435,PRON,PER,she,4017,98
53,77439,77439,PRON,PER,her,4017,98
0,77442,77442,PRON,PER,I,4017,98
1814,21468,21468,PRON,PER,We,1151,99
1813,21472,21472,PRON,PER,her,1151,99
16,21482,21482,PRON,PER,you,1151,99
1813,21488,21488,PRON,PER,her,1151,99
16,21499,21499,PRON,PER,you,1151,99
1813,21507,21507,PRON,PER,she,1151,99
